,X,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId
88,835,6.83E+14,Breton language interpreter needed,9Nmg,9Nmg.00,3.62E+14,6.83E+14
89,836,6.85E+14,Rundi language interpreter needed,9Nmz,9Nmz.00,3.63E+14,6.85E+14
90,843,6.85E+14,Twi language interpreter needed,9Nn3,9Nn3.00,3.63E+14,6.85E+14
91,844,6.86E+14,Turkmen language interpreter needed,9Nn6,9Nn6.00,3.64E+14,6.86E+14
,,,Romany language interpreter needed (finding),,,1.05E+15,
,,,Akan language interpreter needed (finding),,,2.03E+14,
,,,Albanian language interpreter needed (finding),,,2.03E+14,
,,,Amharic language interpreter needed (finding),,,2.03E+14,
,,,Arabic language interpreter needed (finding),,,2.03E+14,
,,,Bengali language interpreter needed (finding),,,2.03E+14,
,,,Italian language interpreter needed (finding),,,2.03E+14,
,,,Cantonese language interpreter needed (finding),,,2.03E+14,
,,,Czech language interpreter needed (finding),,,2.03E+14,
,,,Dutch language interpreter needed (finding),,,2.03E+14,
,,,French language interpreter needed (finding),,,2.03E+14,
,,,French Creole language interpreter needed (finding),,,2.04E+14,
,,,Igbo language interpreter needed (finding),,,2.04E+14,
,,,German language interpreter needed (finding),,,2.04E+14,
,,,Greek language interpreter needed (finding),,,2.04E+14,
,,,Gujarati language interpreter needed (finding),,,2.04E+14,
,,,Hakka language interpreter needed (finding),,,2.04E+14,
,,,Hausa language interpreter needed (finding),,,2.04E+14,
,,,Hebrew language interpreter needed (finding),,,2.04E+14,
,,,Hindi language interpreter needed (finding),,,2.04E+14,
,,,Japanese language interpreter needed (finding),,,2.04E+14,
,,,Korean language interpreter needed (finding),,,2.04E+14,
,,,Kurdish language interpreter needed (finding),,,2.04E+14,
,,,Lingala language interpreter needed (finding),,,2.04E+14,
,,,Lithuanian language interpreter needed (finding),,,2.04E+14,
,,,Ganda language interpreter needed (finding),,,2.04E+14,
,,,Malayalam language interpreter needed (finding),,,2.04E+14,
,,,Mandarin language interpreter needed (finding),,,2.04E+14,
,,,Norwegian language interpreter needed (finding),,,2.04E+14,
,,,Pashto language interpreter needed (finding),,,2.04E+14,
,,,Polish language interpreter needed (finding),,,2.04E+14,
,,,Portuguese language interpreter needed (finding),,,2.04E+14,
,,,Russian language interpreter needed (finding),,,2.04E+14,
,,,Shona language interpreter needed (finding),,,2.04E+14,
,,,Sinhala language interpreter needed (finding),,,2.04E+14,
,,,Somali language interpreter needed (finding),,,2.04E+14,
,,,Spanish language interpreter needed (finding),,,2.04E+14,
,,,Swahili language interpreter needed (finding),,,2.04E+14,
,,,Swedish language interpreter needed (finding),,,2.04E+14,
,,,Sylheti language interpreter needed (finding),,,2.04E+14,
,,,Tagalog language interpreter needed (finding),,,2.04E+14,
,,,Tamil language interpreter needed (finding),,,2.04E+14,
,,,Thai language interpreter needed (finding),,,2.04E+14,
,,,Tigrinya language interpreter needed (finding),,,2.04E+14,
,,,Turkish language interpreter needed (finding),,,2.04E+14,
,,,Ukrainian language interpreter needed (finding),,,2.04E+14,
,,,Urdu language interpreter needed (finding),,,2.04E+14,
,,,Vietnamese language interpreter needed (finding),,,2.04E+14,
,,,Yoruba language interpreter needed (finding),,,2.04E+14,
,,,Need for interpreter (finding),,,315593009,
,,,Interpreter needed (finding),,,315594003,
,,,Finnish language interpreter needed (finding),,,3.44E+14,
,,,Flemish language interpreter needed (finding),,,3.44E+14,
,,,Kutchi language interpreter needed (finding),,,3.44E+14,
,,,Slovak language interpreter needed (finding),,,3.53E+14,
,,,Ndebele language interpreter needed (finding),,,3.53E+14,
,,,Aragonese interpreter needed (finding),,,9.73E+14,
,,,Avaric interpreter needed (finding),,,9.73E+14,
,,,Avestan interpreter needed (finding),,,9.73E+14,
,,,Bambara interpreter needed (finding),,,9.73E+14,
,,,Bashkir interpreter needed (finding),,,9.73E+14,
,,,Bosnian interpreter needed (finding),,,9.73E+14,
,,,Chamorro interpreter needed (finding),,,9.73E+14,
,,,Chechen interpreter needed (finding),,,9.73E+14,
,,,Chinese interpreter needed (finding),,,9.73E+14,
,,,Church Slavic interpreter needed (finding),,,9.73E+14,
,,,Chuvash interpreter needed (finding),,,9.73E+14,
,,,Cree interpreter needed (finding),,,9.73E+14,
,,,Dhivehi interpreter needed (finding),,,9.73E+14,
,,,Ewe interpreter needed (finding),,,9.73E+14,
,,,Fulah interpreter needed (finding),,,9.73E+14,
,,,Haitian interpreter needed (finding),,,9.73E+14,
,,,Herero interpreter needed (finding),,,9.73E+14,
,,,Hiri Motu interpreter needed (finding),,,9.73E+14,
,,,Ido interpreter needed (finding),,,9.73E+14,
,,,Interlingua interpreter needed (finding),,,9.73E+14,
,,,Irish interpreter needed (finding),,,9.73E+14,
,,,Kanuri interpreter needed (finding),,,9.73E+14,
,,,Kikuyu interpreter needed (finding),,,9.73E+14,
,,,Komi interpreter needed (finding),,,9.73E+14,
,,,Kongo interpreter needed (finding),,,9.73E+14,
,,,Kuanyama interpreter needed (finding),,,9.73E+14,
,,,Latin interpreter needed (finding),,,9.73E+14,
,,,Limburgan interpreter needed (finding),,,9.73E+14,
,,,Luba-Katanga interpreter needed (finding),,,9.73E+14,
,,,Luxembourgish interpreter needed (finding),,,9.73E+14,
,,,Manx interpreter needed (finding),,,9.73E+14,
,,,Marshallese interpreter needed (finding),,,9.73E+14,
,,,Navajo interpreter needed (finding),,,9.73E+14,
,,,Ndonga interpreter needed (finding),,,9.73E+14,
,,,North Ndebele interpreter needed (finding),,,9.73E+14,
,,,Northern Sami interpreter needed (finding),,,9.73E+14,
,,,Norwegian Bokmål interpreter needed (finding),,,9.73E+14,
,,,Norwegian Nynorsk interpreter needed (finding),,,9.73E+14,
,,,Nyanja interpreter needed (finding),,,9.73E+14,
,,,Ojibwa interpreter needed (finding),,,9.73E+14,
,,,Ossetian interpreter needed (finding),,,9.73E+14,
,,,Pali interpreter needed (finding),,,9.73E+14,
,,,Sanskrit interpreter needed (finding),,,9.73E+14,
,,,Sardinian interpreter needed (finding),,,9.73E+14,
,,,Serbo-Croatian interpreter needed (finding),,,9.73E+14,
,,,Nuosu interpreter needed (finding),,,9.73E+14,
,,,South Ndebele interpreter needed (finding),,,9.73E+14,
,,,Tahitian interpreter needed (finding),,,9.73E+14,
,,,Venda interpreter needed (finding),,,9.73E+14,
,,,Volapük interpreter needed (finding),,,9.73E+14,
,,,Walloon interpreter needed (finding),,,9.73E+14,
,,,Western Frisian interpreter needed (finding),,,9.73E+14,
,,,Wolof interpreter needed (finding),,,9.73E+14,
